reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
TCLP-190,190,,11,2.8,,,,
TCLP-205,205,,11.25,2.9,,,,
TCLP-220,220,,11.5,3,,,,
TCLP-235,235,,11.75,3.1,,,,
TCLP-250,250,,12,3.1,,,,
TCLP-265,265,,12.25,3.2,,,,
TCLP-280,280,,12.5,3.3,,,,
TCLP-300,300,,12.75,3.3,,,,
TCLP-320,320,,13,3.4,,,,
TCLP-340,340,,13.25,3.5,,,,
TCLP-360,360,,13.5,3.5,,,,
TCLP-400,400,,14,3.6,,,,
TCLP-440,440,,14.5,3.8,,,,
TCLP-490,490,,15,3.9,,,,
TCLP-540,540,,15.5,4,,,,
TCLP-590,590,,16,4.2,,,,
TCLP-640,640,,16.5,4.3,,,,
TSLP-125,125,,9.5,2.5,,,,
TSLP-145,145,,10,2.6,,,,
TSLP-165,165,,10.5,2.7,,,,
TSLP-190,190,,11,2.8,,,,
TSLP-205,205,,11.25,2.9,,,,
TSLP-220,220,,11.5,3,,,,
TSLP-235,235,,11.75,3.1,,,,
TSLP-250,250,,12,3.1,,,,
TSLP-265,265,,12.25,3.2,,,,
TSLP-280,280,,12.5,3.3,,,,
TSLP-300,300,,12.75,3.3,,,,
TSLP-320,320,,13,3.4,,,,
TSLP-340,340,,13.25,3.5,,,,
TSLP-360,360,,13.5,3.5,,,,
TSLP-400,400,,14,3.6,,,,
TSLP-440,440,,14.5,3.8,,,,
TSLP-490,490,,15,3.9,,,,
TSLP-540,540,,15.5,4,,,,
TSLP-590,590,,16,4.2,,,,
TSLP-640,640,,16.5,4.3,,,,
TRLP-125,125,,9.5,2.5,,,,
TRLP-145,145,,10,2.6,,,,
TRLP-165,165,,10.5,2.7,,,,
TRLP-190,190,,11,2.8,,,,
TRLP-205,205,,11.25,2.9,,,,
TRLP-220,220,,11.5,3,,,,
TRLP-235,235,,11.75,3.1,,,,
TRLP-250,250,,12,3.1,,,,
TRLP-265,265,,12.25,3.2,,,,
TRLP-280,280,,12.5,3.3,,,,
TRLP-300,300,,12.75,3.3,,,,
TRLP-320,320,,13,3.4,,,,
TRLP-340,340,,13.25,3.5,,,,
TRLP-360,360,,13.5,3.5,,,,
TRLP-400,400,,14,3.6,,,,
TRLP-440,440,,14.5,3.8,,,,
TRLP-490,490,,15,3.9,,,,
TRLP-540,540,,15.5,4,,,,
TRLP-590,590,,16,4.2,,,,
TRLP-640,640,,16.5,4.3,,,,
TCL-110,110,,10,1.9,,,,
TCL-125,125,,10.5,2,,,,
TCL-140,140,,11,2,,,,
TCL-170,170,,11.5,2.2,,,,
TCL-200,200,,12,2.4,,,,
TCL-230,230,,12.5,2.5,,,,
TCL-260,260,,13,2.6,,,,
TCL-290,290,,13.5,2.7,,,,
TCL-320,320,,14,2.8,,,,
TCL-350,350,,14.25,2.9,,,,
TCL-380,380,,14.5,3,,,,
TCL-410,410,,15,3.1,,,,
TCL-460,460,,15.5,3.2,,,,
TCL-510,510,,16,3.4,,,,
TCL-560,560,,16.5,3.5,,,,
TCL-610,610,,17,3.6,,,,
TSL-110,110,,10,1.9,,,,
TSL-125,125,,10.5,2,,,,
TSL-140,140,,11,2,,,,
TSL-170,170,,11.5,2.2,,,,
TSL-200,200,,12,2.4,,,,
TSL-230,230,,12.5,2.5,,,,
TSL-260,260,,13,2.6,,,,
